0.010000 	 1715 
0.020000 	 1919 
0.030000 	 1649 
0.040000 	 1877 
0.050000 	 1616 
0.060000 	 1548 
0.070000 	 1591 
0.080000 	 1574 
0.090000 	 1944 
0.100000 	 2247 
0.110000 	 1539 
0.120000 	 747 
0.130000 	 694 
0.140000 	 786 
0.150000 	 809 
0.160000 	 587 
0.170000 	 636 
0.180000 	 705 
0.190000 	 742 
0.200000 	 663 
0.210000 	 599 
0.220000 	 624 
0.230000 	 610 
0.240000 	 597 
0.250000 	 648 
0.260000 	 640 
0.270000 	 645 
0.280000 	 605 
0.290000 	 667 
0.300000 	 765 
0.310000 	 791 
0.320000 	 863 
0.330000 	 810 
0.340000 	 905 
0.350000 	 944 
0.360000 	 1174 
0.370000 	 973 
0.380000 	 474 
0.390000 	 463 
0.400000 	 494 
0.410000 	 500 
0.420000 	 509 
0.430000 	 485 
0.440000 	 442 
0.450000 	 451 
0.460000 	 475 
0.470000 	 522 
0.480000 	 509 
0.490000 	 469 
0.500000 	 483 
0.510000 	 402 
0.520000 	 421 
0.530000 	 447 
0.540000 	 456 
0.550000 	 433 
0.560000 	 482 
0.570000 	 444 
0.580000 	 473 
0.590000 	 507 
0.600000 	 485 
0.610000 	 417 
0.620000 	 430 
0.630000 	 425 
0.640000 	 393 
0.650000 	 435 
0.660000 	 532 
0.670000 	 436 
0.680000 	 502 
0.690000 	 435 
0.700000 	 459 
0.710000 	 483 
0.720000 	 419 
0.730000 	 489 
0.740000 	 524 
0.750000 	 541 
0.760000 	 548 
0.770000 	 526 
0.780000 	 560 
0.790000 	 585 
0.800000 	 547 
0.810000 	 531 
0.820000 	 619 
0.830000 	 679 
0.840000 	 684 
0.850000 	 738 
0.860000 	 772 
0.870000 	 810 
0.880000 	 844 
0.890000 	 973 
0.900000 	 1023 
0.910000 	 1217 
0.920000 	 1130 
0.930000 	 926 
0.940000 	 863 
0.950000 	 934 
0.960000 	 1121 
0.970000 	 1389 
0.980000 	 1967 
0.990000 	 2101 
1.000000 	 1719 
