iter: 1 	 Se encontró: 0  	 Se buscó: 0  	   i=j:  22   n: 24   q: 1    Parametro: 4 
iter: 1 	 Se encontró: 0  	 Se buscó: 0  	   i=j:  22   n: 24   q: 3    Parametro: 12 
iter: 1 	 Se encontró: 0  	 Se buscó: 0  	   i=j:  22   n: 24   q: 5    Parametro: 20 
iter: 1 	 Se encontró: 0  	 Se buscó: 0  	   i=j:  22   n: 24   q: 7    Parametro: 28 
iter: 1 	 Se encontró: 0  	 Se buscó: 0  	   i=j:  22   n: 24   q: 9    Parametro: 36 
