1	0
2	8
3	16
4	24
5	1
6	9
7	17
8	26
9	2
10	10
11	19
12	27
13	3
14	12
15	20
16	28
17	5
18	13
19	21
20	30
21	6
22	14
23	23
24	31
25	7
26	16
27	24
28	0
29	8
30	17
31	25
32	1
33	10
34	18
35	26
36	3
37	11
38	19
39	28
40	4
41	12
42	21
43	29
44	5
45	14
46	22
47	30
48	7
49	15
50	23
51	0
52	8
53	16
54	25
55	1
56	9
57	17
58	26
59	2
60	10
61	19
62	27
63	3
64	12
65	20
66	28
67	5
68	13
69	21
70	30
71	6
72	14
73	23
74	31
75	7
76	16
77	24
78	0
79	9
80	17
81	25
82	2
83	10
84	18
85	26
86	3
87	11
88	19
89	28
90	4
91	12
92	21
93	29
94	5
95	14
96	22
97	30
98	7
99	15
100	23
