valor de r: 0.1    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.009
1----->  iteracion: 2 valor de xn: 0.0008919
2----->  iteracion: 3 valor de xn: 8.91105e-05
3----->  iteracion: 4 valor de xn: 8.91025e-06
4----->  iteracion: 5 valor de xn: 8.91017e-07
5----->  iteracion: 6 valor de xn: 8.91016e-08
6----->  iteracion: 7 valor de xn: 8.91016e-09
7----->  iteracion: 8 valor de xn: 8.91016e-10
8----->  iteracion: 9 valor de xn: 8.91016e-11
9----->  iteracion: 10 valor de xn: 8.91016e-12
10----->  iteracion: 11 valor de xn: 8.91016e-13
11----->  iteracion: 12 valor de xn: 8.91016e-14
12----->  iteracion: 13 valor de xn: 8.91016e-15
13----->  iteracion: 14 valor de xn: 8.91016e-16
14----->  iteracion: 15 valor de xn: 8.91016e-17
15----->  iteracion: 16 valor de xn: 8.91016e-18
16----->  iteracion: 17 valor de xn: 8.91016e-19
17----->  iteracion: 18 valor de xn: 8.91016e-20
18----->  iteracion: 19 valor de xn: 8.91016e-21
19----->  iteracion: 20 valor de xn: 8.91016e-22
valor de r: 0.3    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.027
1----->  iteracion: 2 valor de xn: 0.0078813
2----->  iteracion: 3 valor de xn: 0.00234576
3----->  iteracion: 4 valor de xn: 0.000702076
4----->  iteracion: 5 valor de xn: 0.000210475
5----->  iteracion: 6 valor de xn: 6.31292e-05
6----->  iteracion: 7 valor de xn: 1.89376e-05
7----->  iteracion: 8 valor de xn: 5.68116e-06
8----->  iteracion: 9 valor de xn: 1.70434e-06
9----->  iteracion: 10 valor de xn: 5.11301e-07
10----->  iteracion: 11 valor de xn: 1.5339e-07
11----->  iteracion: 12 valor de xn: 4.6017e-08
12----->  iteracion: 13 valor de xn: 1.38051e-08
13----->  iteracion: 14 valor de xn: 4.14153e-09
14----->  iteracion: 15 valor de xn: 1.24246e-09
15----->  iteracion: 16 valor de xn: 3.72738e-10
16----->  iteracion: 17 valor de xn: 1.11821e-10
17----->  iteracion: 18 valor de xn: 3.35464e-11
18----->  iteracion: 19 valor de xn: 1.00639e-11
19----->  iteracion: 20 valor de xn: 3.01918e-12
valor de r: 0.5    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.045
1----->  iteracion: 2 valor de xn: 0.0214875
2----->  iteracion: 3 valor de xn: 0.0105129
3----->  iteracion: 4 valor de xn: 0.00520119
4----->  iteracion: 5 valor de xn: 0.00258707
5----->  iteracion: 6 valor de xn: 0.00129019
6----->  iteracion: 7 valor de xn: 0.000644261
7----->  iteracion: 8 valor de xn: 0.000321923
8----->  iteracion: 9 valor de xn: 0.00016091
9----->  iteracion: 10 valor de xn: 8.04419e-05
10----->  iteracion: 11 valor de xn: 4.02177e-05
11----->  iteracion: 12 valor de xn: 2.01081e-05
12----->  iteracion: 13 valor de xn: 1.00538e-05
13----->  iteracion: 14 valor de xn: 5.02686e-06
14----->  iteracion: 15 valor de xn: 2.51342e-06
15----->  iteracion: 16 valor de xn: 1.25671e-06
16----->  iteracion: 17 valor de xn: 6.28352e-07
17----->  iteracion: 18 valor de xn: 3.14176e-07
18----->  iteracion: 19 valor de xn: 1.57088e-07
19----->  iteracion: 20 valor de xn: 7.85439e-08
valor de r: 0.7    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.063
1----->  iteracion: 2 valor de xn: 0.0413217
2----->  iteracion: 3 valor de xn: 0.02773
3----->  iteracion: 4 valor de xn: 0.0188727
4----->  iteracion: 5 valor de xn: 0.0129616
5----->  iteracion: 6 valor de xn: 0.00895549
6----->  iteracion: 7 valor de xn: 0.00621271
7----->  iteracion: 8 valor de xn: 0.00432188
8----->  iteracion: 9 valor de xn: 0.00301224
9----->  iteracion: 10 valor de xn: 0.00210221
10----->  iteracion: 11 valor de xn: 0.00146846
11----->  iteracion: 12 valor de xn: 0.00102641
12----->  iteracion: 13 valor de xn: 0.00071775
13----->  iteracion: 14 valor de xn: 0.000502064
14----->  iteracion: 15 valor de xn: 0.000351269
15----->  iteracion: 16 valor de xn: 0.000245802
16----->  iteracion: 17 valor de xn: 0.000172019
17----->  iteracion: 18 valor de xn: 0.000120392
18----->  iteracion: 19 valor de xn: 8.42646e-05
19----->  iteracion: 20 valor de xn: 5.89802e-05
valor de r: 0.9    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.081
1----->  iteracion: 2 valor de xn: 0.0669951
2----->  iteracion: 3 valor de xn: 0.0562561
3----->  iteracion: 4 valor de xn: 0.0477822
4----->  iteracion: 5 valor de xn: 0.0409492
5----->  iteracion: 6 valor de xn: 0.0353451
6----->  iteracion: 7 valor de xn: 0.0306862
7----->  iteracion: 8 valor de xn: 0.0267701
8----->  iteracion: 9 valor de xn: 0.0234481
9----->  iteracion: 10 valor de xn: 0.0206085
10----->  iteracion: 11 valor de xn: 0.0181654
11----->  iteracion: 12 valor de xn: 0.0160519
12----->  iteracion: 13 valor de xn: 0.0142148
13----->  iteracion: 14 valor de xn: 0.0126115
14----->  iteracion: 15 valor de xn: 0.0112072
15----->  iteracion: 16 valor de xn: 0.00997341
16----->  iteracion: 17 valor de xn: 0.00888655
17----->  iteracion: 18 valor de xn: 0.00792682
18----->  iteracion: 19 valor de xn: 0.00707759
19----->  iteracion: 20 valor de xn: 0.00632475
valor de r: 1.1    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.099
1----->  iteracion: 2 valor de xn: 0.0981189
2----->  iteracion: 3 valor de xn: 0.0973407
3----->  iteracion: 4 valor de xn: 0.0966521
4----->  iteracion: 5 valor de xn: 0.0960415
5----->  iteracion: 6 valor de xn: 0.0954993
6----->  iteracion: 7 valor de xn: 0.0950171
7----->  iteracion: 8 valor de xn: 0.0945877
8----->  iteracion: 9 valor de xn: 0.094205
9----->  iteracion: 10 valor de xn: 0.0938634
10----->  iteracion: 11 valor de xn: 0.0935584
11----->  iteracion: 12 valor de xn: 0.0932857
12----->  iteracion: 13 valor de xn: 0.0930419
13----->  iteracion: 14 valor de xn: 0.0928236
14----->  iteracion: 15 valor de xn: 0.0926281
15----->  iteracion: 16 valor de xn: 0.092453
16----->  iteracion: 17 valor de xn: 0.0922959
17----->  iteracion: 18 valor de xn: 0.0921551
18----->  iteracion: 19 valor de xn: 0.0920288
19----->  iteracion: 20 valor de xn: 0.0919155
valor de r: 1.3    xn inicial: 0.1 
0----->  iteracion: 1 valor de xn: 0.117
1----->  iteracion: 2 valor de xn: 0.134304
2----->  iteracion: 3 valor de xn: 0.151147
3----->  iteracion: 4 valor de xn: 0.166792
