iter: 32 	 Se encontró: 2147483647  	 Se buscó: 2147483647  	   i=j:  13   n: 32   q: 1    Parametro: 524288 
iter: 1800204795 	 Se encontró: 1340209242  	 Se buscó: 1340209242  	   i=j:  13   n: 32   q: 3    Parametro: 1572864 
iter: 3921741733 	 Se encontró: 2771586757  	 Se buscó: 2771586757  	   i=j:  13   n: 32   q: 5    Parametro: 2621440 
iter: 1006758815 	 Se encontró: 2781527779  	 Se buscó: 2781527779  	   i=j:  13   n: 32   q: 7    Parametro: 3670016 
iter: 285032151 	 Se encontró: 1435638518  	 Se buscó: 1435638518  	   i=j:  13   n: 32   q: 9    Parametro: 4718592 
iter: 3871950641 	 Se encontró: 217238971  	 Se buscó: 217238971  	   i=j:  13   n: 32   q: 11    Parametro: 5767168 
iter: 15315211 	 Se encontró: 2750975484  	 Se buscó: 2750975484  	   i=j:  13   n: 32   q: 13    Parametro: 6815744 
iter: 4086617100 	 Se encontró: 2340663993  	 Se buscó: 2340663993  	   i=j:  13   n: 32   q: 15    Parametro: 7864320 
iter: 2333878050 	 Se encontró: 1882360256  	 Se buscó: 1882360256  	   i=j:  13   n: 32   q: 17    Parametro: 8912896 
iter: 3239661119 	 Se encontró: 2049960195  	 Se buscó: 2049960195  	   i=j:  13   n: 32   q: 19    Parametro: 9961472 
iter: 3957661925 	 Se encontró: 1510307589  	 Se buscó: 1510307589  	   i=j:  13   n: 32   q: 21    Parametro: 11010048 
iter: 3513040954 	 Se encontró: 4103968330  	 Se buscó: 4103968330  	   i=j:  13   n: 32   q: 23    Parametro: 12058624 
iter: 2153394474 	 Se encontró: 2026327724  	 Se buscó: 2026327724  	   i=j:  13   n: 32   q: 25    Parametro: 13107200 
iter: 3877670915 	 Se encontró: 690527328  	 Se buscó: 690527328  	   i=j:  13   n: 32   q: 27    Parametro: 14155776 
iter: 4063740851 	 Se encontró: 3675454311  	 Se buscó: 3675454311  	   i=j:  13   n: 32   q: 29    Parametro: 15204352 
iter: 118938221 	 Se encontró: 3366068305  	 Se buscó: 3366068305  	   i=j:  13   n: 32   q: 31    Parametro: 16252928 
iter: 3248915431 	 Se encontró: 882107776  	 Se buscó: 882107776  	   i=j:  13   n: 32   q: 33    Parametro: 17301504 
iter: 609982179 	 Se encontró: 2601308600  	 Se buscó: 2601308600  	   i=j:  13   n: 32   q: 35    Parametro: 18350080 
iter: 2239559077 	 Se encontró: 3775923331  	 Se buscó: 3775923331  	   i=j:  13   n: 32   q: 37    Parametro: 19398656 
iter: 1031768624 	 Se encontró: 3664352216  	 Se buscó: 3664352216  	   i=j:  13   n: 32   q: 39    Parametro: 20447232 
iter: 3983367540 	 Se encontró: 1211081130  	 Se buscó: 1211081130  	   i=j:  13   n: 32   q: 41    Parametro: 21495808 
iter: 571607866 	 Se encontró: 3049333545  	 Se buscó: 3049333545  	   i=j:  13   n: 32   q: 43    Parametro: 22544384 
iter: 2541158110 	 Se encontró: 3775510182  	 Se buscó: 3775510182  	   i=j:  13   n: 32   q: 45    Parametro: 23592960 
iter: 1842015025 	 Se encontró: 1315853988  	 Se buscó: 1315853988  	   i=j:  13   n: 32   q: 47    Parametro: 24641536 
iter: 2612454411 	 Se encontró: 1898605753  	 Se buscó: 1898605753  	   i=j:  13   n: 32   q: 49    Parametro: 25690112 
iter: 1861348444 	 Se encontró: 3927552959  	 Se buscó: 3927552959  	   i=j:  13   n: 32   q: 51    Parametro: 26738688 
iter: 1581482891 	 Se encontró: 2589212085  	 Se buscó: 2589212085  	   i=j:  13   n: 32   q: 53    Parametro: 27787264 
iter: 3110499744 	 Se encontró: 649043966  	 Se buscó: 649043966  	   i=j:  13   n: 32   q: 55    Parametro: 28835840 
iter: 4060323760 	 Se encontró: 2837613662  	 Se buscó: 2837613662  	   i=j:  13   n: 32   q: 57    Parametro: 29884416 
iter: 3841353266 	 Se encontró: 822705659  	 Se buscó: 822705659  	   i=j:  13   n: 32   q: 59    Parametro: 30932992 
iter: 174551698 	 Se encontró: 2269728524  	 Se buscó: 2269728524  	   i=j:  13   n: 32   q: 61    Parametro: 31981568 
iter: 1442673975 	 Se encontró: 2951666828  	 Se buscó: 2951666828  	   i=j:  13   n: 32   q: 63    Parametro: 33030144 
iter: 3212339372 	 Se encontró: 3124471175  	 Se buscó: 3124471175  	   i=j:  13   n: 32   q: 65    Parametro: 34078720 
iter: 497062631 	 Se encontró: 3319016178  	 Se buscó: 3319016178  	   i=j:  13   n: 32   q: 67    Parametro: 35127296 
iter: 4025993087 	 Se encontró: 1565290859  	 Se buscó: 1565290859  	   i=j:  13   n: 32   q: 69    Parametro: 36175872 
iter: 1386716981 	 Se encontró: 2407198470  	 Se buscó: 2407198470  	   i=j:  13   n: 32   q: 71    Parametro: 37224448 
iter: 3783054695 	 Se encontró: 2831857221  	 Se buscó: 2831857221  	   i=j:  13   n: 32   q: 73    Parametro: 38273024 
iter: 3164321587 	 Se encontró: 2350652481  	 Se buscó: 2350652481  	   i=j:  13   n: 32   q: 75    Parametro: 39321600 
iter: 3889840016 	 Se encontró: 320748385  	 Se buscó: 320748385  	   i=j:  13   n: 32   q: 77    Parametro: 40370176 
iter: 1979908202 	 Se encontró: 1538026430  	 Se buscó: 1538026430  	   i=j:  13   n: 32   q: 79    Parametro: 41418752 
iter: 309415993 	 Se encontró: 927412415  	 Se buscó: 927412415  	   i=j:  13   n: 32   q: 81    Parametro: 42467328 
iter: 3111951035 	 Se encontró: 3436929069  	 Se buscó: 3436929069  	   i=j:  13   n: 32   q: 83    Parametro: 43515904 
